Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
472871622,00000116,false,Rx,0,8,AD,0E,01,00,20,00,00,FF,
472871627,00000392,false,Rx,0,8,BF,2F,00,00,00,00,00,04,
472871632,000006B4,false,Rx,0,8,01,48,31,37,41,55,30,48,
472871638,0000031E,false,Rx,0,8,FB,F0,3F,00,00,00,00,40,
472871643,0000032C,false,Rx,0,8,00,0F,00,00,98,24,00,00,
472871648,0000032F,false,Rx,0,8,00,FF,00,00,00,00,12,01,
472871654,00000040,false,Rx,0,8,CC,05,00,44,C1,00,00,00,
472871659,000000AD,false,Rx,0,8,86,E1,BF,FF,00,14,00,00,
472871664,000000AE,false,Rx,0,8,30,01,00,00,FF,3C,01,02,
472871848,00000462,false,Rx,0,8,01,00,38,00,00,01,00,00,
472872005,00000128,false,Rx,0,3,80,00,00,00,00,00,00,00,
472872239,000003DB,false,Rx,0,8,50,00,01,04,07,24,01,A2,
472872474,0000012D,false,Rx,0,8,F2,89,7F,00,00,00,FE,3F,
472872732,00000465,false,Rx,0,8,00,00,00,00,00,00,00,80,
472872948,000003C8,false,Rx,0,8,00,00,54,24,00,60,01,82,
472873268,1B000077,true,Rx,0,8,77,00,04,02,01,00,00,00,
472873502,000000A7,false,Rx,0,8,05,0F,20,80,FD,01,98,3D,
472873742,000000A8,false,Rx,0,8,37,9F,1D,A1,82,64,FC,0D,
472875228,000000AF,false,Rx,0,4,83,7B,28,01,00,00,00,00,
472876193,00000086,false,Rx,0,8,BC,0F,2C,20,00,00,00,00,
472877535,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472877799,00000101,false,Rx,0,8,4F,0F,80,00,A2,02,00,00,
472878061,00000106,false,Rx,0,8,6A,0F,63,00,02,00,00,00,
472878289,0000011E,false,Rx,0,8,96,0F,00,00,00,00,00,00,
472878569,000001AB,false,Rx,0,8,1D,0A,04,02,18,00,04,00,
472881310,000000AD,false,Rx,0,8,62,E2,BF,FF,00,14,00,00,
472881563,000000AE,false,Rx,0,8,31,02,00,00,FF,3C,01,02,
472881849,000003DD,false,Rx,0,8,48,04,10,18,FE,4F,0A,00,
472883291,0000030B,false,Rx,0,8,10,25,00,00,08,00,00,10,
472883526,000000A7,false,Rx,0,8,CC,00,20,80,FD,01,98,3D,
472883767,000000A8,false,Rx,0,8,5F,90,1D,A1,82,64,FC,0D,
472883989,00000107,false,Rx,0,8,00,00,F8,2C,01,00,73,A6,
472884244,00000120,false,Rx,0,8,26,00,00,02,01,08,FF,01,
472884479,00000121,false,Rx,0,8,60,00,00,40,37,5A,7E,FE,
472884719,00000147,false,Rx,0,8,00,00,00,00,F0,A3,60,1D,
472885219,000000AF,false,Rx,0,4,83,7C,00,00,00,00,00,00,
472886203,00000086,false,Rx,0,8,FE,00,2C,20,00,00,00,00,
472893976,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472893981,000000FD,false,Rx,0,8,71,DF,1F,80,00,00,00,00,
472893987,00000116,false,Rx,0,8,C9,0F,01,00,20,00,00,FF,
472893992,000001A2,false,Rx,0,8,4D,07,00,00,00,00,00,00,
472893997,000000AD,false,Rx,0,8,E3,E3,BF,FF,00,14,00,00,
472894003,000000AE,false,Rx,0,8,14,03,00,00,FF,3C,01,02,
472894008,00000128,false,Rx,0,3,84,00,D7,00,00,00,00,00,
472894013,00000365,false,Rx,0,8,AD,06,14,00,8D,0F,88,7A,
472894018,0000012D,false,Rx,0,8,7B,8A,7F,00,00,00,FE,3F,
472894024,000000A7,false,Rx,0,8,44,01,20,80,FD,01,98,3D,
472894029,000000A8,false,Rx,0,8,4A,91,1D,A1,82,64,00,0E,
472895231,000000AF,false,Rx,0,4,83,7D,00,00,00,00,00,00,
472896191,00000086,false,Rx,0,8,9A,01,2C,20,00,00,00,00,
472896464,0000012B,false,Rx,0,8,B7,46,40,28,00,00,00,00,
472897448,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
472897733,00000101,false,Rx,0,8,FD,00,80,00,A2,01,00,00,
472897976,00000106,false,Rx,0,8,28,00,63,00,02,00,00,00,
