Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
494213136,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
494263277,0000070E,false,Rx,0,8,02,10,03,00,00,00,00,00,
494298540,00000778,false,Rx,0,8,06,50,03,00,32,01,F4,AA,
494353383,0000070E,false,Rx,0,8,03,22,F1,91,00,00,00,00,
494381422,00000778,false,Rx,0,8,10,0E,62,F1,91,35,51,30,
494381670,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494388719,00000778,false,Rx,0,8,21,39,33,37,30,38,37,41,
494398679,00000778,false,Rx,0,8,22,4E,AA,AA,AA,AA,AA,AA,
494443401,0000070E,false,Rx,0,8,03,22,F1,A3,00,00,00,00,
494468634,00000778,false,Rx,0,8,06,62,F1,A3,30,33,32,AA,
494503423,0000070E,false,Rx,0,8,03,22,F1,87,00,00,00,00,
494528540,00000778,false,Rx,0,8,10,0E,62,F1,87,35,51,30,
494528818,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494538672,00000778,false,Rx,0,8,21,39,33,37,30,38,37,41,
494548659,00000778,false,Rx,0,8,22,4E,AA,AA,AA,AA,AA,AA,
494593337,0000070E,false,Rx,0,8,03,22,F1,89,00,00,00,00,
494618711,00000778,false,Rx,0,8,07,62,F1,89,30,32,32,33,
494653374,0000070E,false,Rx,0,8,03,22,F1,97,00,00,00,00,
494680509,00000778,false,Rx,0,8,10,10,62,F1,97,42,43,4D,
494680762,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494688692,00000778,false,Rx,0,8,21,20,50,51,33,37,42,4F,
494698633,00000778,false,Rx,0,8,22,53,43,48,AA,AA,AA,AA,
494713115,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
494743442,0000070E,false,Rx,0,8,03,22,F1,AA,00,00,00,00,
494768651,00000778,false,Rx,0,8,10,08,62,F1,AA,4A,35,31,
494768913,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494781115,00000778,false,Rx,0,8,21,39,20,AA,AA,AA,AA,AA,
494833330,0000070E,false,Rx,0,8,03,22,F1,8C,00,00,00,00,
494858554,00000778,false,Rx,0,8,10,11,62,F1,8C,43,38,36,
494858807,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494868670,00000778,false,Rx,0,8,21,34,31,37,30,32,31,37,
494880036,00000778,false,Rx,0,8,22,30,30,35,41,AA,AA,AA,
494923415,0000070E,false,Rx,0,8,03,22,F1,9E,00,00,00,00,
494948628,00000778,false,Rx,0,8,10,1D,62,F1,9E,45,56,5F,
494948889,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
494958608,00000778,false,Rx,0,8,21,42,6F,64,79,43,6F,6E,
494968646,00000778,false,Rx,0,8,22,74,72,4D,6F,64,75,6C,
494981178,00000778,false,Rx,0,8,23,31,55,44,53,42,6F,73,
494988668,00000778,false,Rx,0,8,24,63,00,AA,AA,AA,AA,AA,
495043443,0000070E,false,Rx,0,8,03,22,F1,A2,00,00,00,00,
495068659,00000778,false,Rx,0,8,10,09,62,F1,A2,30,31,37,
495068922,0000070E,false,Rx,0,8,30,00,01,00,00,00,00,00,
